,state_idx,action_idx,rank,mape,mae,mse,weight
281,93,2,0,0.5671194582016953,0.5063166737035653,0.28153153603144504,0.2819078947368421
282,94,0,3,2.3306239547335394,0.5159537280262378,0.3465242158253439,0.215625
283,94,1,3,2.0461033537641384,0.420962336720719,0.22731200354043812,0.215625
284,94,2,3,2.5267798570134565,0.5244056451980846,0.36412344571946004,0.215625
285,95,0,3,0.7771535336858498,0.46411356964197364,0.29323040820629004,0.2819078947368421
286,95,1,3,0.9373767926388125,0.6356798960067459,0.5136912408964401,0.2819078947368421
287,95,2,3,1.15024345522043,0.5997736852953738,0.4119927421585768,0.2819078947368421
288,96,0,0,0.387370398116815,0.5480560306676746,0.4451908958351681,0.2819078947368421
289,96,1,1,0.600234547804139,0.8611860712715425,0.8333661202158599,0.2819078947368421
290,96,2,0,0.4936911658056136,0.704120662177405,0.5672244518292061,0.2819078947368421
291,97,0,1,0.39912922013309643,0.3519208869463685,0.1489762742557972,0.2819078947368421
292,97,1,3,0.7379895452289941,0.5596933706267412,0.3380277648356535,0.2819078947368421
293,97,2,3,0.6309031347833128,0.5302842323545645,0.3161193595724377,0.2819078947368421
294,98,0,1,0.6617022703771068,0.35624568653250704,0.171512750620639,0.2819078947368421
295,98,1,3,1.2924704355755996,0.5486508846749126,0.3355486879560356,0.2819078947368421
296,98,2,3,1.089125651516983,0.5373929878542084,0.34193541650434406,0.2819078947368421
297,99,0,1,0.5286411609054782,0.4715963814915332,0.3126750284099891,0.5024671052631579
298,99,1,1,0.4960274763667043,0.5005552633664229,0.32292836955926857,0.5024671052631579
299,99,2,0,0.3927411202981836,0.34768807903540316,0.1440577533278353,0.5024671052631579
300,100,0,2,0.6429242604552845,0.24221401803912013,0.07266657878881234,0.2819078947368421
301,100,1,3,1.3820238444995203,0.41927416318377303,0.24122592741608365,0.2819078947368421
302,100,2,3,1.2936485089221859,0.31787687968309,0.14195201958000628,0.2819078947368421
303,101,0,1,0.5951876281027153,0.22642308518816856,0.0777837758986371,0.5024671052631579
304,101,1,3,1.0518780111151615,0.3579779195266866,0.1693367270556713,0.5024671052631579
305,101,2,3,0.993123420001436,0.2506902837311108,0.09240782741273117,0.5024671052631579
306,102,0,3,19.574986277519386,0.759992705680869,0.7747545600981564,0.2819078947368421
307,102,1,3,17.585145472206694,0.9701410163273056,1.0121496787834483,0.2819078947368421
308,102,2,3,15.568634473894328,0.7942121057058257,0.7011332689307257,0.2819078947368421
309,103,0,3,4.198643397751625,0.5986110116374637,0.3856074543643781,0.2819078947368421
310,103,1,3,4.78719231175743,0.6673407574824636,0.49570419477033284,0.2819078947368421
311,103,2,3,5.211842934225051,0.7345382715594911,0.5876876133365693,0.2819078947368421
312,104,0,3,0.9829572964059886,0.6120769862959562,0.4377622203880951,0.5024671052631579
313,104,1,3,1.2615087543989867,0.660401826040691,0.5295954114340803,0.5024671052631579
314,104,2,3,0.9801430360152982,0.528965901362464,0.33020952219914357,0.5024671052631579
315,105,0,0,0.35791720115841724,0.456039588419379,0.2820334470080267,0.2819078947368421
316,105,1,3,0.6215587690249257,0.5893763891237657,0.3584738789321233,0.2819078947368421
317,105,2,3,0.5680078131878133,0.6046315274017732,0.39854410583383926,0.2819078947368421
318,106,0,0,0.14176721238004833,0.15117549093567487,0.029603903109043234,0.2819078947368421
319,106,1,2,0.2850294323408082,0.3313122517695389,0.12371080358544555,0.2819078947368421
320,106,2,1,0.23741381316827367,0.3133111591005599,0.12208577611529982,0.2819078947368421
321,107,0,0,0.48545805565819594,0.45232451199995954,0.26238315348428637,0.5024671052631579
322,107,1,1,0.5024763687291814,0.5350248498065437,0.33244559144330704,0.5024671052631579
323,107,2,0,0.40151971137792736,0.4126218139090816,0.20440913499929944,0.5024671052631579
324,108,0,0,0.40060052425850295,0.36418615400863635,0.22854630525825184,0.5024671052631579
325,108,1,1,0.4426189653361079,0.4999705856861228,0.3198168074157503,0.5024671052631579
